expr_id,cond_id,para_nr,line_nr,word_nr,word,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
2,1,10,3,74,decizie.,200.0,200.0,200.0,200.0,200.0,1,0,0,0
2,1,10,3,75,"Așadar,",352.0,352.0,352.0,352.0,352.0,1,0,0,0
2,1,10,3,76,Ana,297.0,297.0,297.0,297.0,297.0,1,0,0,0
2,1,10,3,77,dă,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,3,78,o,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,3,79,căutare,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,3,80,pe,546.0,546.0,546.0,546.0,546.0,1,0,0,0
2,1,10,3,81,smartphone,200.0,200.0,200.0,200.0,200.0,1,0,0,0
2,1,10,3,82,pentru,551.0,551.0,551.0,551.0,551.0,1,0,0,0
2,1,10,3,83,„lapte,1152.0,1152.0,1152.0,1152.0,1152.0,1,0,0,0
2,1,10,3,84,de,502.0,502.0,502.0,502.0,502.0,1,0,0,0
2,1,10,3,85,vacă”.,195.0,195.0,195.0,195.0,195.0,1,0,0,0
2,1,10,3,86,Cei,303.0,303.0,303.0,303.0,303.0,1,0,0,0
2,1,10,3,87,trei,248.0,248.0,248.0,248.0,248.0,1,0,0,0
2,1,10,3,88,citesc,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,3,89,primul,203.0,203.0,203.0,203.0,203.0,1,0,0,0
2,1,10,3,90,rezultat,200.0,503.0,200.0,200.0,200.0,1,0,1,1
2,1,10,3,91,și,449.0,795.0,449.0,795.0,1098.0,1,1,0,0
2,1,10,3,92,îl,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,3,93,discută.,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,0,Unul,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,1,dintre,703.0,703.0,703.0,703.0,703.0,1,0,0,0
2,1,10,0,2,cele,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,10,0,3,mai,0.0,0.0,0.0,0.0,0.0,0,0,0,0
