expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
2,1,1,rețele,34,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,601.0,601.0,601.0,601.0,601.0,1.0,0.0,0,0
2,1,1,de,35,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,302.0,302.0,302.0,302.0,302.0,1.0,0.0,0,0
2,1,1,cercetare,36,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,448.0,448.0,448.0,448.0,448.0,1.0,0.0,0,0
2,1,1,sprijinite,37,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,1504.0,1504.0,1504.0,1504.0,1504.0,1.0,0.0,0,0
2,1,1,de,38,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,1,Cooperarea,39,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,1898.0,1898.0,1898.0,1898.0,1898.0,1.0,0.0,0,0
2,1,1,Europeană,40,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,849.0,849.0,849.0,849.0,849.0,1.0,0.0,0,0
2,1,1,în,41,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,1703.0,1703.0,1703.0,1703.0,1703.0,1.0,0.0,0,0
2,1,1,Știință,42,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,997.0,997.0,997.0,997.0,997.0,1.0,0.0,0,0
2,1,1,și,43,Este o rețea de cercetători finanțată de Uniunea Europeană.,"1,0,0,0,0,0",0.0,249.0,249.0,249.0,249.0,249.0,1.0,0.0,0,0
